시장,종목코드,종목명,업종,가격,당일등락률,시가총액,거래량,거래대금,1주수익률,1개월수익률,3개월수익률,6개월수익률,이상치상태,1단계점수,점수식버전
한국,084370,유진테크,Industrials,163600,9.5,3749064471200,270216,43001863900,16.5242,20.5601,1.1125,27.3152,없음,2.89645192,MSS7-S1-1.0.0
한국,031980,피에스케이홀딩스,Industrials,163200,3.16,3518982864000,98410,15858437050,-2.1583,48.0944,32.7909,60.7882,없음,2.86872957,MSS7-S1-1.0.0
한국,095340,ISC,Industrials,212500,2.16,4504374825000,117738,24686123500,10.7348,37.8080,11.5486,-10.9015,없음,2.86587538,MSS7-S1-1.0.0
한국,140410,메지온,Healthcare,82200,4.31,2517101602800,132585,10914246150,14.0083,27.0479,38.1513,-5.8419,없음,2.85813639,MSS7-S1-1.0.0
한국,403870,HPSP,Industrials,55500,2.21,4567650000000,1404443,77548253400,3.9326,26.2799,9.6838,13.8462,없음,2.85721105,MSS7-S1-1.0.0
한국,219130,타이거일렉,Technology,80800,5.07,510194632000,37792,2999571350,8.0214,27.6461,28.6624,146.7176,없음,2.84087890,MSS7-S1-1.0.0
한국,204270,제이앤티씨,Technology,23800,-4.99,1376793490800,1055612,25593965575,10.4408,28.1637,6.0134,39.1813,없음,2.83286034,MSS7-S1-1.0.0
한국,253590,네오셈,Industrials,13680,3.64,600130163520,2779052,39157988275,14.0000,35.5798,19.0601,-22.0068,없음,2.82675712,MSS7-S1-1.0.0
한국,069540,빛과전자,Technology,4020,2.29,453021425940,11362764,46349179042,-8.8435,43.3155,56.7251,53.4351,없음,2.82291071,MSS7-S1-1.0.0
한국,210120,캔버스엔,Communication,1893,-0.99,18352617963,150302,284035761,7.9863,46.6305,103.5484,18.7578,없음,2.82124120,MSS7-S1-1.0.0
한국,066570,LG전자,Technology,209000,-3.46,34042889342000,546536,114955326500,4.5000,4.6046,2.2005,82.8521,없음,2.81442330,MSS7-S1-1.0.0
한국,201490,미투온,Technology,3705,-0.54,121241404830,18096681,71386181320,-3.5156,47.3161,87.1212,21.0784,없음,2.81366788,MSS7-S1-1.0.0
한국,172670,에이엘티,Technology,13770,4.87,123382766430,79746,1095577200,19.1176,39.0909,35.1325,18.7069,없음,2.78379395,MSS7-S1-1.0.0
한국,353200,대덕전자,Technology,119400,6.32,5900380845000,1578412,184015317200,17.4041,14.1491,-13.5409,53.8660,없음,2.76748814,MSS7-S1-1.0.0
한국,425420,티에프이,Technology,64300,-0.16,793923738300,67134,4342503050,14.4128,53.0952,48.1567,5.2373,없음,2.76428596,MSS7-S1-1.0.0
한국,246960,SCL사이언스,Healthcare,2720,11.25,92526367840,477149,1256293632,20.0883,34.3210,75.2577,31.7191,없음,2.76210307,MSS7-S1-1.0.0
한국,007660,이수페타시스,Technology,118900,5.31,8728356139100,929301,109461510850,10.5019,18.1909,10.8108,-1.0815,없음,2.75854191,MSS7-S1-1.0.0
한국,034730,SK,Financials,611000,3.91,44299151533000,129962,78403933000,10.8893,11.2933,-14.1854,77.8748,없음,2.75705950,MSS7-S1-1.0.0
한국,232140,와이씨,Industrials,14250,-0.42,1169146237500,1780267,25395537070,19.8486,44.9644,9.8689,-29.4554,없음,2.74286881,MSS7-S1-1.0.0
한국,240810,원익IPS,Industrials,133700,2.61,6562517563700,2584001,353053961450,11.9765,25.6579,-11.2218,-0.7424,없음,2.71005371,MSS7-S1-1.0.0
한국,029460,케이씨,Technology,43350,-0.23,477740192250,35375,1531668200,8.9196,23.8571,50.7826,39.6135,없음,2.70511207,MSS7-S1-1.0.0
한국,003350,한국화장품제조,Materials,15850,5.25,359161000000,1291081,20120648085,6.0201,35.2389,112.1821,-64.3420,없음,2.69104954,MSS7-S1-1.0.0
한국,077500,유니퀘스트,Industrials,9190,7.61,198504937380,805775,7224549385,25.0340,33.3817,47.0400,48.2258,없음,2.68041757,MSS7-S1-1.0.0
한국,089790,제이티,Industrials,5990,1.7,61789922870,100097,604010290,16.0853,49.7500,32.8160,5.6437,없음,2.67636680,MSS7-S1-1.0.0
한국,295310,에이치브이엠,Materials,63100,8.42,782727609800,307985,19167763150,18.3865,40.5345,14.3116,-39.5014,없음,2.65484537,MSS7-S1-1.0.0
한국,368970,오에스피,Consumer,2775,-1.25,31190217450,10369,28561482,12.1212,15.6250,63.9102,77.8846,없음,2.65224507,MSS7-S1-1.0.0
한국,452260,한화갤러리아,Consumer,2765,1.65,536021821650,1576380,4369612785,5.9387,42.1594,30.4245,8.0078,없음,2.63001379,MSS7-S1-1.0.0
