시장,종목코드,종목명,현재실행점수,추세근거,유동성근거,이전추천우선권,상태
한국,077500,유니퀘스트,4.141152,1주=25.0340;1개월=33.3817;3개월=47.0400;6개월=48.2258,시가총액=198504937380;거래대금=7224549385,없음,2단계
한국,009150,삼성전기,4.136657,1주=9.1238;1개월=14.3399;3개월=-23.2688;6개월=244.8513,시가총액=112563399872000;거래대금=743457672000,없음,2단계
한국,161890,한국콜마,4.102372,1주=-2.0000;1개월=2.5820;3개월=70.1389;6개월=87.9795,시가총액=3469946319000;거래대금=40522592900,없음,2단계
한국,006340,대원전선,4.096817,1주=5.8870;1개월=4.7360;3개월=20.6619;6개월=146.1679,시가총액=1057810471840;거래대금=21037840590,없음,2단계
한국,064760,티씨케이,4.091880,1주=5.9259;1개월=25.7143;3개월=10.8527;6개월=24.3478,시가총액=3197312976000;거래대금=13745289250,없음,2단계
한국,073570,리튬포어스,4.078952,1주=10.0051;1개월=38.3184;3개월=20.3911;6개월=295.4128,시가총액=25940441840;거래대금=101343265,없음,2단계
한국,089860,롯데렌탈,4.074074,1주=3.1153;1개월=7.4675;3개월=79.5660;6개월=56.8720,시가총액=1802761114200;거래대금=1289523325,없음,2단계
한국,041520,이엘씨,4.062181,1주=7.6068;1개월=15.3987;3개월=55.2404;6개월=41.7793,시가총액=153456110700;거래대금=165790290,없음,2단계
한국,402340,SK스퀘어,4.059516,1주=16.6667;1개월=10.5948;3개월=-33.8521;6개월=100.0000,시가총액=156989557620000;거래대금=1132505220813,없음,2단계
한국,049470,비트플래닛,4.009923,1주=41.8660;1개월=37.9070;3개월=100.2026;6개월=336.0294,시가총액=69810625535;거래대금=1334972732,없음,2단계
한국,043200,파루,3.999883,1주=7.2774;1개월=144.7266;3개월=93.3642;6개월=35.7530,시가총액=26190402721;거래대금=169182327,없음,2단계
한국,001520,동양,3.992940,1주=10.7589;1개월=7.9588;3개월=103.7102;6개월=41.6462,시가총액=123511702896;거래대금=985760535,없음,2단계
한국,027580,상보,3.981940,1주=1.5042;1개월=13.7328;3개월=42.6782;6개월=214.1379,시가총액=21565656610;거래대금=132980669,없음,2단계
한국,000500,가온전선,3.979610,1주=27.6553;1개월=102.2222;3개월=2.2472;6개월=178.4091,시가총액=9484167829500;거래대금=48994969750,없음,2단계
한국,024900,디와이덕양,3.970652,1주=11.5578;1개월=31.2833;3개월=23.4705;6개월=8.8235,시가총액=72294255600;거래대금=1184070323,없음,2단계
한국,419050,삼기에너지솔루션즈,3.970589,1주=24.1026;1개월=23.0769;3개월=33.3333;6개월=24.6619,시가총액=110731920640;거래대금=70194600212,없음,2단계
한국,359090,씨엔알리서치,3.963388,1주=10.4019;1개월=20.6718;3개월=324.5455;6개월=193.3417,시가총액=26838823905;거래대금=23862320,없음,2단계
한국,053350,이니텍,3.962978,1주=2.4719;1개월=17.8295;3개월=93.6306;6개월=44.7619,시가총액=100416056400;거래대금=214896790,없음,2단계
한국,002630,오리엔트바이오,3.950000,1주=100.3286;1개월=95.1974;3개월=107.8409;6개월=248.3810,시가총액=54222078579;거래대금=60980697,없음,2단계
한국,285800,진영,3.950000,1주=17.4834;1개월=505.0477;3개월=440.1949;6개월=154.0092,시가총액=15938423170;거래대금=396310403,없음,2단계
한국,457370,한켐,3.945430,1주=16.0329;1개월=28.5877;3개월=7.9350;6개월=31.1266,시가총액=91077942860;거래대금=3901627765,없음,2단계
한국,044820,코스맥스비티아이,3.939771,1주=2.5490;1개월=11.9914;3개월=56.3060;6개월=63.9498,시가총액=251142534150;거래대금=442780975,없음,2단계
한국,000880,한화,3.932818,1주=-5.5919;1개월=55.1313;3개월=25.2408;6개월=13.4380,시가총액=6932756610000;거래대금=8086377750,없음,2단계
한국,217190,제너셈,3.915114,1주=9.9415;1개월=17.6839;3개월=46.0194;6개월=24.9169,시가총액=98916282720;거래대금=917582380,없음,2단계
