시장,종목코드,종목명,업종,1단계선별점수,2단계선별점수,지속성,업종내상대순위,추가검증,산식버전
미국,V,Visa Inc.,Consumer Discretionary,0.9836144807,0.9403691132,광역 다기간자료 없음,1.0000,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,DHR,Danaher Corporation Common Stock,Industrials,0.9696076573,0.9400188866,광역 다기간자료 없음,0.9767,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,AXP,American Express Company Common Stock,Finance,0.9731141016,0.9383965157,광역 다기간자료 없음,1.0000,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,JNJ,Johnson & Johnson Common Stock,Health Care,0.9697877180,0.9369817711,광역 다기간자료 없음,0.9143,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,MA,Mastercard Incorporated Common Stock,Consumer Discretionary,0.9751421531,0.9364430741,광역 다기간자료 없음,0.9818,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,0.9681861259,0.9354338960,광역 다기간자료 없음,0.9273,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,0.9693991660,0.9352875645,광역 다기간자료 없음,0.8065,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,TMO,Thermo Fisher Scientific Inc Common Stock,Industrials,0.9811694466,0.9331265293,광역 다기간자료 없음,1.0000,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,VLO,Valero Energy Corporation Common Stock,Energy,0.9758718726,0.9311466387,광역 다기간자료 없음,1.0000,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,KO,Coca-Cola Company (The) Common Stock,Consumer Staples,0.9542835481,0.9276434463,광역 다기간자료 없음,1.0000,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,TSLA,Tesla Inc. Common Stock,Industrials,0.9397934041,0.9187027999,광역 다기간자료 없음,0.7674,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,CRM,Salesforce Inc. Common Stock,Technology,0.9618176649,0.9183562378,광역 다기간자료 없음,0.7742,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,0.9671721001,0.9176207110,광역 다기간자료 없음,0.8909,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,AAPL,Apple Inc. Common Stock,Technology,0.9465409401,0.9130805898,광역 다기간자료 없음,0.7258,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,COIN,Coinbase Global Inc. Class A Common Stock,Finance,0.9512509477,0.9108428651,광역 다기간자료 없음,0.8500,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,NVDA,NVIDIA Corporation Common Stock,Technology,0.9447119030,0.9097278363,광역 다기간자료 없음,0.6935,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,LRCX,Lam Research Corporation Common Stock,Technology,0.9497630781,0.9077653453,광역 다기간자료 없음,0.7581,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,GEV,GE Vernova Inc. Common Stock,Technology,0.9631254738,0.9075202296,광역 다기간자료 없음,0.7903,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,VZ,Verizon Communications Inc. Common Stock,Telecommunications,0.9756065201,0.9069336948,광역 다기간자료 없음,1.0000,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,LIN,Linde plc Ordinary Shares,Basic Materials,0.9343157695,0.9049505269,광역 다기간자료 없음,1.0000,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,C,Citigroup Inc. Common Stock,Finance,0.9557335102,0.9020306347,광역 다기간자료 없음,0.8750,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,AZO,AutoZone Inc. Common Stock,Consumer Discretionary,0.9502274450,0.9015837742,광역 다기간자료 없음,0.8364,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,HPE,Hewlett Packard Enterprise Company Common Stock,Technology,0.9722706596,0.9014142164,광역 다기간자료 없음,0.8871,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
