market,symbol,name,level1_score,direct_trend_evidence,liquidity_evidence,status
US,VLO,Valero Energy Corporation Common Stock,0.952822,bulk_daily_change=1.868;cross_section_score=0.952822,volume=3726796;market_cap=110235907718,L2_PASS
US,MU,Micron Technology Inc. Common Stock,0.951477,bulk_daily_change=0.807;cross_section_score=0.951477,volume=22070294;market_cap=1220343181450,L2_PASS
US,MA,Mastercard Incorporated Common Stock,0.950855,bulk_daily_change=1.1;cross_section_score=0.950855,volume=2165628;market_cap=495891706835,L2_PASS
US,UNH,UnitedHealth Group Incorporated Common Stock (DE),0.949855,bulk_daily_change=1.002;cross_section_score=0.949855,volume=4652207;market_cap=336607043573,L2_PASS
US,HPE,Hewlett Packard Enterprise Company Common Stock,0.949677,bulk_daily_change=1.909;cross_section_score=0.949677,volume=21472929;market_cap=84320562762,L2_PASS
US,DDOG,Datadog Inc. Class A Common Stock,0.949603,bulk_daily_change=2.159;cross_section_score=0.949603,volume=3489556;market_cap=92253555166,L2_PASS
US,AXP,American Express Company Common Stock,0.949299,bulk_daily_change=1.225;cross_section_score=0.949299,volume=3955312;market_cap=206415203555,L2_PASS
US,SNPS,Synopsys Inc. Common Stock,0.948945,bulk_daily_change=2.869;cross_section_score=0.948945,volume=1716358;market_cap=81428327252,L2_PASS
US,CTAS,Cintas Corporation Common Stock,0.948177,bulk_daily_change=2.974;cross_section_score=0.948177,volume=3398787;market_cap=78976474501,L2_PASS
US,WELL,Welltower Inc. Common Stock,0.947655,bulk_daily_change=1.627;cross_section_score=0.947655,volume=2751259;market_cap=168373228003,L2_PASS
US,APH,Amphenol Corporation Common Stock,0.946004,bulk_daily_change=1.083;cross_section_score=0.946004,volume=11712129;market_cap=204872531215,L2_PASS
US,DHR,Danaher Corporation Common Stock,0.945337,bulk_daily_change=0.997;cross_section_score=0.945337,volume=6196751;market_cap=157307189304,L2_PASS
US,ANET,Arista Networks Inc. Common Stock,0.945106,bulk_daily_change=1.096;cross_section_score=0.945106,volume=3559074;market_cap=259433910094,L2_PASS
US,XOM,ExxonMobil Holdings Corporation Common Stock,0.944841,bulk_daily_change=0.564;cross_section_score=0.944841,volume=12484958;market_cap=666705405194,L2_PASS
US,CSCO,Cisco Systems Inc. Common Stock (DE),0.944208,bulk_daily_change=0.507;cross_section_score=0.944208,volume=32362244;market_cap=421738517805,L2_PASS
US,JNJ,Johnson & Johnson Common Stock,0.943890,bulk_daily_change=0.561;cross_section_score=0.943890,volume=6323739;market_cap=652311352236,L2_PASS
US,BKNG,Booking Holdings Inc. Common Stock,0.943805,bulk_daily_change=0.969;cross_section_score=0.943805,volume=9501590;market_cap=118274804505,L2_PASS
US,ABNB,Airbnb Inc. Class A Common Stock,0.943743,bulk_daily_change=1.21;cross_section_score=0.943743,volume=8597733;market_cap=90650164398,L2_PASS
US,PLTR,Palantir Technologies Inc. Class A Common Stock,0.942632,bulk_daily_change=0.417;cross_section_score=0.942632,volume=22675964;market_cap=462611479713,L2_PASS
US,NFLX,Netflix Inc. Common Stock,0.942043,bulk_daily_change=0.504;cross_section_score=0.942043,volume=28224058;market_cap=298637753563,L2_PASS
US,BLK,BlackRock Inc. Common Stock,0.941093,bulk_daily_change=1.184;cross_section_score=0.941093,volume=501393;market_cap=166244406074,L2_PASS
US,PFE,Pfizer Inc. Common Stock,0.940458,bulk_daily_change=0.816;cross_section_score=0.940458,volume=34774778;market_cap=161927726663,L2_PASS
US,PWR,Quanta Services Inc. Common Stock,0.940386,bulk_daily_change=1.355;cross_section_score=0.940386,volume=938055;market_cap=94806712787,L2_PASS
US,COP,ConocoPhillips Common Stock,0.939797,bulk_daily_change=0.976;cross_section_score=0.939797,volume=5362096;market_cap=155380989534,L2_PASS
US,JPM,JP Morgan Chase & Co. Common Stock,0.939757,bulk_daily_change=0.305;cross_section_score=0.939757,volume=6941751;market_cap=899955518179,L2_PASS
US,DVN,Devon Energy Corporation Common Stock,0.939537,bulk_daily_change=1.79;cross_section_score=0.939537,volume=17590827;market_cap=53790000000,L2_PASS
US,VRTX,Vertex Pharmaceuticals Incorporated Common Stock,0.937976,bulk_daily_change=1.17;cross_section_score=0.937976,volume=941060;market_cap=132402917479,L2_PASS
US,HLT,Hilton Worldwide Holdings Inc. Common Stock,0.937425,bulk_daily_change=1.598;cross_section_score=0.937425,volume=1683408;market_cap=70249510358,L2_PASS
US,GEV,GE Vernova Inc. Common Stock,0.936901,bulk_daily_change=0.338;cross_section_score=0.936901,volume=1683690;market_cap=254359223198,L2_PASS
US,T,AT&T Inc.,0.936304,bulk_daily_change=0.593;cross_section_score=0.936304,volume=34217821;market_cap=174393214793,L2_PASS
US,IQV,IQVIA Holdings Inc. Common Stock,0.936206,bulk_daily_change=2.673;cross_section_score=0.936206,volume=1893424;market_cap=45268292000,L2_PASS
US,CRM,Salesforce Inc. Common Stock,0.935069,bulk_daily_change=0.269;cross_section_score=0.935069,volume=11073961;market_cap=196055060000,L2_PASS
US,BMY,Bristol-Myers Squibb Company Common Stock,0.934518,bulk_daily_change=0.572;cross_section_score=0.934518,volume=14902838;market_cap=125626951344,L2_PASS
US,MPC,Marathon Petroleum Corporation Common Stock,0.934151,bulk_daily_change=0.662;cross_section_score=0.934151,volume=2091003;market_cap=109788441095,L2_PASS
US,AMZN,Amazon.com Inc. Common Stock,0.934130,bulk_daily_change=0.044;cross_section_score=0.934130,volume=33040160;market_cap=2689890878585,L2_PASS
US,WFC,Wells Fargo & Company Common Stock,0.934024,bulk_daily_change=0.342;cross_section_score=0.934024,volume=12235786;market_cap=248512265432,L2_PASS
US,FANG,Diamondback Energy Inc. Common Stock,0.932038,bulk_daily_change=1.81;cross_section_score=0.932038,volume=2306992;market_cap=52927402961,L2_PASS
US,CVX,Chevron Corporation Common Stock,0.931886,bulk_daily_change=0.068;cross_section_score=0.931886,volume=9387794;market_cap=406317362498,L2_PASS
US,WAT,Waters Corporation Common Stock,0.931699,bulk_daily_change=2.314;cross_section_score=0.931699,volume=1031521;market_cap=42276162163,L2_PASS
US,BAC,Bank of America Corporation Common Stock,0.931690,bulk_daily_change=0.054;cross_section_score=0.931690,volume=40990268;market_cap=391803690891,L2_PASS
US,OXY,Occidental Petroleum Corporation Common Stock,0.931024,bulk_daily_change=1.203;cross_section_score=0.931024,volume=9848599;market_cap=58028949387,L2_PASS
US,PM,Philip Morris International Inc Common Stock,0.930170,bulk_daily_change=0.346;cross_section_score=0.930170,volume=3151332;market_cap=298474473569,L2_PASS
US,C,Citigroup Inc. Common Stock,0.929498,bulk_daily_change=0.129;cross_section_score=0.929498,volume=8648713;market_cap=221589399034,L2_PASS
