시장,종목코드,종목명,업종,1단계점수,2단계점수,이상치상태,2단계핵심,점수식버전
미국,CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,1.76882261,2.05745528,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,CVNA,Carvana Co. Class A Common Stock,Consumer Discretionary,1.86913999,2.04828271,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,MRK,Merck & Company Inc. Common Stock (new),Health Care,1.83984577,2.04461190,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,KHC,The Kraft Heinz Company Common Stock,Consumer Staples,1.84524705,2.04358804,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,KLAC,KLA Corporation Common Stock,Technology,1.74700329,2.03637639,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,OXY,Occidental Petroleum Corporation Common Stock,Energy,1.89355156,2.02977926,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,DHR,Danaher Corporation Common Stock,Industrials,1.95641259,2.02564308,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,PYPL,PayPal Holdings Inc. Common Stock,Industrials,1.83970647,2.02180615,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,FISV,Fiserv Inc. Common Stock,Consumer Discretionary,1.75363739,2.02014470,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,1.78259675,2.01903428,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,COIN,Coinbase Global Inc. Class A Common Stock,Finance,1.83895485,2.01742856,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,DAL,Delta Air Lines Inc. Common Stock,Consumer Discretionary,1.81951605,2.00949787,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,SYY,Sysco Corporation Common Stock,Consumer Discretionary,1.78752697,2.00900274,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
