market,symbol,name,level1_score,screen_evidence,status
US,WELL,Welltower Inc. Common Stock,0.947655,bulk_pct=1.627;market_cap=168373228003;volume=2751259,L2_PASS
US,APH,Amphenol Corporation Common Stock,0.946004,bulk_pct=1.083;market_cap=204872531215;volume=11712129,L2_PASS
US,DHR,Danaher Corporation Common Stock,0.945337,bulk_pct=0.997;market_cap=157307189304;volume=6196751,L2_PASS
US,ANET,Arista Networks Inc. Common Stock,0.945106,bulk_pct=1.096;market_cap=259433910094;volume=3559074,L2_PASS
US,XOM,ExxonMobil Holdings Corporation Common Stock,0.944841,bulk_pct=0.564;market_cap=666705405194;volume=12484958,L2_PASS
US,CSCO,Cisco Systems Inc. Common Stock (DE),0.944208,bulk_pct=0.507;market_cap=421738517805;volume=32362244,L2_PASS
US,JNJ,Johnson & Johnson Common Stock,0.943890,bulk_pct=0.561;market_cap=652311352236;volume=6323739,L2_PASS
US,BKNG,Booking Holdings Inc. Common Stock,0.943805,bulk_pct=0.969;market_cap=118274804505;volume=9501590,L2_PASS
US,ABNB,Airbnb Inc. Class A Common Stock,0.943743,bulk_pct=1.21;market_cap=90650164398;volume=8597733,L2_PASS
US,PLTR,Palantir Technologies Inc. Class A Common Stock,0.942632,bulk_pct=0.417;market_cap=462611479713;volume=22675964,L2_PASS
US,NFLX,Netflix Inc. Common Stock,0.942043,bulk_pct=0.504;market_cap=298637753563;volume=28224058,L2_PASS
US,BLK,BlackRock Inc. Common Stock,0.941093,bulk_pct=1.184;market_cap=166244406074;volume=501393,L2_PASS
US,PFE,Pfizer Inc. Common Stock,0.940458,bulk_pct=0.816;market_cap=161927726663;volume=34774778,L2_PASS
US,PWR,Quanta Services Inc. Common Stock,0.940386,bulk_pct=1.355;market_cap=94806712787;volume=938055,L2_PASS
US,COP,ConocoPhillips Common Stock,0.939797,bulk_pct=0.976;market_cap=155380989534;volume=5362096,L2_PASS
US,JPM,JP Morgan Chase & Co. Common Stock,0.939757,bulk_pct=0.305;market_cap=899955518179;volume=6941751,L2_PASS
US,DVN,Devon Energy Corporation Common Stock,0.939537,bulk_pct=1.79;market_cap=53790000000;volume=17590827,L2_PASS
US,VRTX,Vertex Pharmaceuticals Incorporated Common Stock,0.937976,bulk_pct=1.17;market_cap=132402917479;volume=941060,L2_PASS
US,HLT,Hilton Worldwide Holdings Inc. Common Stock,0.937425,bulk_pct=1.598;market_cap=70249510358;volume=1683408,L2_PASS
US,GEV,GE Vernova Inc. Common Stock,0.936901,bulk_pct=0.338;market_cap=254359223198;volume=1683690,L2_PASS
US,T,AT&T Inc.,0.936304,bulk_pct=0.593;market_cap=174393214793;volume=34217821,L2_PASS
US,IQV,IQVIA Holdings Inc. Common Stock,0.936206,bulk_pct=2.673;market_cap=45268292000;volume=1893424,L2_PASS
US,CRM,Salesforce Inc. Common Stock,0.935069,bulk_pct=0.269;market_cap=196055060000;volume=11073961,L2_PASS
US,BMY,Bristol-Myers Squibb Company Common Stock,0.934518,bulk_pct=0.572;market_cap=125626951344;volume=14902838,L2_PASS
US,MPC,Marathon Petroleum Corporation Common Stock,0.934151,bulk_pct=0.662;market_cap=109788441095;volume=2091003,L2_PASS
US,AMZN,Amazon.com Inc. Common Stock,0.934130,bulk_pct=0.044;market_cap=2689890878585;volume=33040160,L2_PASS
US,WFC,Wells Fargo & Company Common Stock,0.934024,bulk_pct=0.342;market_cap=248512265432;volume=12235786,L2_PASS
US,FANG,Diamondback Energy Inc. Common Stock,0.932038,bulk_pct=1.81;market_cap=52927402961;volume=2306992,L2_PASS
US,CVX,Chevron Corporation Common Stock,0.931886,bulk_pct=0.068;market_cap=406317362498;volume=9387794,L2_PASS
US,WAT,Waters Corporation Common Stock,0.931699,bulk_pct=2.314;market_cap=42276162163;volume=1031521,L2_PASS
US,BAC,Bank of America Corporation Common Stock,0.931690,bulk_pct=0.054;market_cap=391803690891;volume=40990268,L2_PASS
US,OXY,Occidental Petroleum Corporation Common Stock,0.931024,bulk_pct=1.203;market_cap=58028949387;volume=9848599,L2_PASS
US,PM,Philip Morris International Inc Common Stock,0.930170,bulk_pct=0.346;market_cap=298474473569;volume=3151332,L2_PASS
US,C,Citigroup Inc. Common Stock,0.929498,bulk_pct=0.129;market_cap=221589399034;volume=8648713,L2_PASS
US,DAL,Delta Air Lines Inc. Common Stock,0.929354,bulk_pct=1.235;market_cap=54424881963;volume=6256485,L2_PASS
US,KR,Kroger Company (The) Common Stock,0.929332,bulk_pct=2.221;market_cap=34797486204;volume=8089118,L2_PASS
US,KO,Coca-Cola Company (The) Common Stock,0.927303,bulk_pct=0.011;market_cap=379054588308;volume=13169076,L2_PASS
US,XYZ,Block Inc. Class A Common Stock,0.927290,bulk_pct=2.758;market_cap=46105008300;volume=3654550,L2_PASS
US,COIN,Coinbase Global Inc. Class A Common Stock,0.926943,bulk_pct=0.545;market_cap=52558953431;volume=7383844,L2_PASS
US,SYY,Sysco Corporation Common Stock,0.926589,bulk_pct=1.361;market_cap=38462752532;volume=6855586,L2_PASS
US,AZO,AutoZone Inc. Common Stock,0.926453,bulk_pct=0.647;market_cap=46719084671;volume=481887,L2_PASS
US,PH,Parker-Hannifin Corporation Common Stock,0.926397,bulk_pct=0.388;market_cap=122957082377;volume=552302,L2_PASS
US,ABBV,AbbVie Inc. Common Stock,0.926194,bulk_pct=0.015;market_cap=468498134599;volume=3458170,L2_PASS
US,ISRG,Intuitive Surgical Inc. Common Stock,0.926016,bulk_pct=0.306;market_cap=141141641742;volume=1565480,L2_PASS
US,BNY,The Bank of New York Mellon Corporation Common Stock,0.925993,bulk_pct=0.455;market_cap=101904537087;volume=3544771,L2_PASS
US,EMR,Emerson Electric Company Common Stock,0.925731,bulk_pct=1.003;market_cap=87094892000;volume=2071934,L2_PASS
US,COF,Capital One Financial Corporation Common Stock,0.925409,bulk_pct=0.26;market_cap=120617253606;volume=3688181,L2_PASS
US,WBD,Warner Bros. Discovery Inc. Series A Common Stock,0.925309,bulk_pct=0.26;market_cap=77430090204;volume=46110292,L2_PASS
US,VEEV,Veeva Systems Inc. Class A Common Stock,0.925020,bulk_pct=1.511;market_cap=44499028334;volume=1380053,L2_PASS
US,ALL,Allstate Corporation (The) Common Stock,0.924513,bulk_pct=0.669;market_cap=57441740502;volume=2967263,L2_PASS
US,HUM,Humana Inc. Common Stock,0.923627,bulk_pct=1.478;market_cap=45668942739;volume=899024,L2_PASS
US,CAH,Cardinal Health Inc. Common Stock,0.923117,bulk_pct=0.61;market_cap=51549741384;volume=3480951,L2_PASS
US,TJX,TJX Companies Inc. (The) Common Stock,0.922844,bulk_pct=0.03;market_cap=144789585649;volume=8134248,L2_PASS
US,FIX,Comfort Systems USA Inc. Common Stock,0.922837,bulk_pct=1.076;market_cap=57838008335;volume=218394,L2_PASS
US,KEYS,Keysight Technologies Inc. Common Stock,0.922315,bulk_pct=1.183;market_cap=60869306127;volume=845305,L2_PASS
US,EQT,EQT Corporation Common Stock,0.921805,bulk_pct=1.586;market_cap=32445514920;volume=8136207,L2_PASS
US,EOG,EOG Resources Inc. Common Stock,0.921479,bulk_pct=0.719;market_cap=74934238083;volume=2672414,L2_PASS
US,STT,State Street Corporation Common Stock,0.921230,bulk_pct=0.634;market_cap=49745742624;volume=3492741,L2_PASS
US,LRCX,Lam Research Corporation Common Stock,0.920712,bulk_pct=-0.039;market_cap=384355758360;volume=7904001,L2_PASS
US,CIEN,Ciena Corporation Common Stock,0.920427,bulk_pct=0.708;market_cap=50828429616;volume=1421174,L2_PASS
US,AMAT,Applied Materials Inc. Common Stock,0.920380,bulk_pct=-0.027;market_cap=376363587343;volume=4165383,L2_PASS
US,HWM,Howmet Aerospace Inc. Common Stock,0.919415,bulk_pct=0.262;market_cap=91477064903;volume=2228095,L2_PASS
US,TRV,The Travelers Companies Inc. Common Stock,0.918871,bulk_pct=0.555;market_cap=75585502223;volume=1053647,L2_PASS
US,ICE,Intercontinental Exchange Inc. Common Stock,0.918723,bulk_pct=0.371;market_cap=88099636845;volume=2683552,L2_PASS
US,EXPE,Expedia Group Inc. Common Stock,0.918505,bulk_pct=1.046;market_cap=29969299469;volume=2276975,L2_PASS
US,MRK,Merck & Company Inc. Common Stock (new),0.918233,bulk_pct=-0.068;market_cap=365092058991;volume=10312766,L2_PASS
US,ROST,Ross Stores Inc. Common Stock,0.918037,bulk_pct=0.607;market_cap=75199262094;volume=1454504,L2_PASS
US,GE,GE Aerospace Common Stock,0.917963,bulk_pct=-0.006;market_cap=331791740407;volume=3728020,L2_PASS
US,AME,AMETEK Inc.,0.917869,bulk_pct=0.523;market_cap=56797180589;volume=1992119,L2_PASS
US,LYV,Live Nation Entertainment Inc. Common Stock,0.917196,bulk_pct=1.201;market_cap=40307528092;volume=1936698,L2_PASS
US,CVNA,Carvana Co. Class A Common Stock,0.916537,bulk_pct=0.36;market_cap=70627764759;volume=6971754,L2_PASS
US,BSX,Boston Scientific Corporation Common Stock,0.915920,bulk_pct=0.134;market_cap=64751575222;volume=17297544,L2_PASS
US,AAPL,Apple Inc. Common Stock,0.915839,bulk_pct=-0.326;market_cap=4902476945600;volume=24733329,L2_PASS
US,AMGN,Amgen Inc. Common Stock,0.915499,bulk_pct=-0.012;market_cap=219518219310;volume=2525241,L2_PASS
US,ORLY,O'Reilly Automotive Inc. Common Stock,0.914211,bulk_pct=0.396;market_cap=69764778702;volume=4350290,L2_PASS
US,GWW,W.W. Grainger Inc. Common Stock,0.913930,bulk_pct=0.693;market_cap=60264242261;volume=229698,L2_PASS
US,NVDA,NVIDIA Corporation Common Stock,0.913556,bulk_pct=-0.412;market_cap=5412378000000;volume=77808203,L2_PASS
US,DG,Dollar General Corporation Common Stock,0.912862,bulk_pct=1.6;market_cap=27032175279;volume=2324818,L2_PASS
US,SCHW,Charles Schwab Corporation (The) Common Stock,0.912842,bulk_pct=-0.01;market_cap=172051610186;volume=8907176,L2_PASS
US,EXE,Expand Energy Corporation Common Stock,0.911143,bulk_pct=1.815;market_cap=20515865781;volume=3935650,L2_PASS
US,NTAP,NetApp Inc. Common Stock,0.910583,bulk_pct=0.464;market_cap=38741684546;volume=2347973,L2_PASS
US,BRK/B,Berkshire Hathaway Inc.,0.909745,bulk_pct=-0.392;market_cap=1114584378402;volume=2706197,L2_PASS
US,OKE,ONEOK Inc. Common Stock,0.909680,bulk_pct=0.707;market_cap=57477106237;volume=2702688,L2_PASS
